Region,Country,Item Type,,,
Sub-Saharan Africa,Chad,Office Supplies,,,
Europe,Latvia,Beverages,,,
Middle East and North Africa,Pakistan,Vegetables,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Household,,,
Europe,Czech Republic,Beverages,,,
Sub-Saharan Africa,South Africa,Beverages,,,
Asia,Laos,Vegetables,,,
Asia,China,Baby Food,,,
Sub-Saharan Africa,Eritrea,Meat,,,
Central America and the Caribbean,Haiti,Office Supplies,,,
Sub-Saharan Africa,Zambia,Cereal,,,
Europe,Bosnia and Herzegovina,Baby Food,,,
Europe,Germany,Office Supplies,,,
Asia,India,Household,,,
Middle East and North Africa,Algeria,Clothes,,,
Australia and Oceania,Palau,Snacks,,,
Central America and the Caribbean,Cuba,Beverages,,,
Europe,Vatican City,Beverages,,,
Middle East and North Africa,Lebanon,Personal Care,,,
Europe,Lithuania,Snacks,,,
Sub-Saharan Africa,Mauritius ,Cosmetics,,,
Europe,Ukraine,Office Supplies,,,
Europe,Russia,Snacks,,,
Asia,Japan,Cosmetics,,,
Europe,Russia,Meat,,,
Europe,Liechtenstein,Vegetables,,,
Europe,Greece,Clothes,,,
Europe,Albania,Baby Food,,,
Australia and Oceania,Federated States of Micronesia,Baby Food,,,
Central America and the Caribbean,Dominica,Beverages,,,
Europe,Andorra,Office Supplies,,,
Europe,Switzerland,Personal Care,,,
Central America and the Caribbean,Trinidad and Tobago,Baby Food,,,
Europe,San Marino,Vegetables,,,
Central America and the Caribbean,Nicaragua,Fruits,,,
Middle East and North Africa,Azerbaijan,Cosmetics,,,
Asia,Bangladesh,Personal Care,,,
Europe,Serbia,Beverages,,,
Sub-Saharan Africa,Mauritius ,Fruits,,,
Central America and the Caribbean,Jamaica,Baby Food,,,
Europe,Italy,Cereal,,,
Asia,Bhutan,Clothes,,,
Middle East and North Africa,Turkey,Clothes,,,
Europe,Bulgaria,Cosmetics,,,
Middle East and North Africa,Pakistan,Household,,,
Europe,Poland,Cereal,,,
Europe,France,Baby Food,,,
Central America and the Caribbean,Jamaica,Baby Food,,,
Australia and Oceania,Australia,Personal Care,,,
Middle East and North Africa,Somalia,Fruits,,,
Europe,Slovenia,Cosmetics,,,
Australia and Oceania,Samoa ,Clothes,,,
Sub-Saharan Africa,South Africa,Cereal,,,
Sub-Saharan Africa,Ghana,Vegetables,,,
Asia,Sri Lanka,Office Supplies,,,
Sub-Saharan Africa,Guinea,Meat,,,
Europe,Spain,Fruits,,,
Europe,Moldova ,Personal Care,,,
Central America and the Caribbean,Dominican Republic,Cereal,,,
Europe,Luxembourg,Personal Care,,,
Middle East and North Africa,Kuwait,Office Supplies,,,
Central America and the Caribbean,Saint Lucia,Fruits,,,
Europe,Georgia,Vegetables,,,
Europe,Bosnia and Herzegovina,Cosmetics,,,
Europe,Iceland,Snacks,,,
Sub-Saharan Africa,Mauritius ,Personal Care,,,
Sub-Saharan Africa,Malawi,Office Supplies,,,
Sub-Saharan Africa,Seychelles ,Meat,,,
Europe,Montenegro,Personal Care,,,
Europe,Germany,Household,,,
Europe,Estonia,Meat,,,
Europe,Serbia,Clothes,,,
Sub-Saharan Africa,Madagascar,Baby Food,,,
Sub-Saharan Africa,Benin,Beverages,,,
Europe,Hungary,Clothes,,,
Central America and the Caribbean,Cuba,Cosmetics,,,
